res_id,du_id
356205005,337129488
356205005,337129487
356205005,337129486
356205005,337129485
356205005,337129484
356205005,337129483
356205005,337129482
356205005,337129481
356205005,337129480
356205005,337129479
356205005,337129478
356205005,337129477
356205005,337129476
356205005,337129475
356205005,337129474
356205005,337129472
356205005,337129471
356205005,337129470
356205005,337129469
356205005,337129468
356205005,337129467
356205005,337129466
356205005,337129465
356205005,337129464
356205005,337129463
356205005,337129462
356205005,337129461
356205005,337129459
356205005,337129458
356205005,337129457
356205005,337129456
356205005,337129454
356205005,337129453
356205005,337129452
356205005,337129451
356205005,337129450
356205005,337129449
356205005,337129448
356205005,337129447
356205005,337129446
356205005,337129445
356205005,337129444
356205005,337129443
356205005,337129442
356205005,337129441
356205005,337129440
356205005,337129434
356205005,337129424
356205005,337129414
356205005,337129404
356205005,337129399
356205005,337129398
356205005,337129397
356205005,337129396
356205005,337129395
356205005,337129393
356205005,337129391
356205005,337129390
356205005,337129389
356205005,337129388
356205005,337129387
356205005,337129386
356205005,337129385
356205005,337129384
356205005,337129383
356205005,337129382
356205005,337129381
356205005,337129380
356205005,337129379
356205005,337129378
356205005,337129377
356205005,337129376
356205005,337129375
356205005,337129374
356205005,337129373
356205005,337129372
356205005,337129371
356205005,337129370
356205005,337129369
356205005,337129368
356205005,337129366
356205005,337129364
356205005,337129363
356205005,337129362
356205005,337129361
356205005,337129360
356205005,337129359
356205005,337129358
356205005,337129357
356205005,337129356
356205005,337129355
356205005,337129353
356205005,337129351
356205005,337129350
356205005,337129342
356205005,337129340
356205005,337129338
356205005,337129337
356205005,337129334
356205005,337129333
356205005,337129332
356205005,337129331
356205005,337129330
356205005,337129329
356205005,337129328
356205005,337129327
356205005,337129326
356205005,337129325
356205005,337129324
356205005,337129323
356205005,337129322
356205005,337129321
356205005,337129320
356205005,337129319
356205005,337129318
356205005,337129317
356205005,337129315
356205005,337129314
356205005,337129313
356205005,337129312
356205005,337129311
356205005,337129310
356205005,337129309
356205005,337129308
356205005,337129307
356205005,337129306
356205005,337129305
356205005,337129304
356205005,337129303
356205005,337129302
356205005,337129301
356205005,337129299
356205005,337129298
356205005,337129297
356205005,337129296
356205005,337129295
356205005,337129294
356205005,337129293
356205005,337129292
356205005,337128581
356205005,337128580
356205005,337128579
356205005,337128578
356205005,337129148
356205005,347349794
356205005,347349749
356205005,347349705
356205005,347349628
356205005,337129517
356205005,337129516
356205005,337129515
356205005,337129514
356205005,337129513
356205005,337129512
356205005,337129511
356205005,337129510
356205005,337129509
356205005,337129508
356205005,337129507
356205005,337129506
356205005,337129505
356205005,337129504
356205005,337128577
356205005,337128576
356205005,337128575
356205005,337128574
356205005,337128573
356205005,337128572
356205005,337128571
356205005,337128570
356205005,337128569
356205005,337128568
356205005,337128567
356205005,337128566
356205005,337128565
356205005,337128564
356205005,337128563
356205005,337128562
356205005,337128561
356205005,337128560
356205005,337128558
356205005,337128557
356205005,337128554
356205005,337128552
356205005,337128551
356205005,337128550
356205005,337128549
356205005,337128548
356205005,337128547
356205005,337128546
356205005,337128545
356205005,337128544
356205005,337128543
356205005,337128542
356205005,337128541
356205005,337128540
356205005,337128539
356205005,337128538
356205005,337128537
356205005,337128536
356205005,337128535
356205005,337128534
356205005,337128533
356205005,337128532
356205005,337128531
356205005,337128530
356205005,337128529
356205005,337128528
356205005,337128524
356205005,337128510
356205005,337128509
356205005,337128508
356205005,337128507
356205005,337128504
356205005,337128502
356205005,337128501
356205005,337128500
356205005,337128497
356205005,337128495
356205005,337128488
356205005,337128487
356205005,337128486
356205005,337128485
356205005,337128484
356205005,337128483
356205005,337128482
356205005,337128481
356205005,337128480
356205005,337128477
356205005,337128470
356205005,337128469
